plataforma,nivel_dss,cantidad_de_bytes_de_envio,tiempo_kem,tiempo_dss,tiempo_mensaje,cpu_kem,cpu_dss,cpu_mensaje,ram_kem,ram_dss,ram_mensaje
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02191983,0.00029447,0.00059803,0.02353561,0.00040617,0.00049581,32.6171875,32.7421875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02179658,0.00033794,0.00057854,0.02332754,0.00046037,0.00047997,32.7421875,32.8671875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.0215058,0.00011872,0.00043507,0.02420041,0.00011828,0.00045927,32.8671875,32.8671875,32.8671875
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02189683,0.00060327,0.00040863,0.02505296,0.00071615,0.00040916,32.6171875,32.7421875,32.7421875
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02168567,0.00040545,0.0004185,0.02352722,0.00055556,0.00043442,32.8671875,32.9921875,32.9921875
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02144031,0.00107554,0.00054262,0.02353229,0.00129891,0.00072764,32.7421875,32.7421875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02387028,0.0010134,0.00042495,0.02629794,0.00132351,0.00044755,32.74609375,32.87109375,32.87109375
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.021609,0.00029984,0.0006044,0.02559332,0.00034765,0.00068736,32.7421875,32.7421875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02136744,0.0006505,0.000419,0.023531,0.00089539,0.00041951,32.7421875,32.8671875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02250176,0.00130333,0.00059487,0.02487514,0.00162572,0.0004579,32.7421875,32.8671875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.0238859,0.00028961,0.00055625,0.02700601,0.00038264,0.00044287,32.73828125,32.86328125,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02219804,0.00069181,0.00045459,0.02424429,0.00088418,0.00045536,32.7421875,32.8671875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.0242551,0.00029896,0.00056388,0.02811981,0.00045256,0.00046983,32.61328125,32.73828125,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02119507,0.00090555,0.00067618,0.02451773,0.00108263,0.00059007,32.6171875,32.7421875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02204814,0.00112665,0.00041851,0.02558232,0.0014244,0.00043818,32.7421875,32.8671875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02414524,0.00028609,0.00043192,0.02700996,0.00038481,0.0004541,32.62109375,32.74609375,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02298804,0.00082898,0.00058872,0.02842441,0.00096436,0.00046747,32.8671875,32.8671875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02224991,0.00096866,0.00048143,0.02595792,0.0011811,0.00047412,32.7421875,32.8671875,32.8671875
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02405959,0.00014694,0.00062429,0.02577955,0.00014666,0.00069965,32.7421875,32.7421875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02244851,0.00058103,0.00044383,0.02537524,0.00073818,0.00044487,32.6171875,32.7421875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02308406,0.0003812,0.00060672,0.02600692,0.00054482,0.00048505,32.6171875,32.7421875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.01986431,0.00062854,0.00075218,0.02349501,0.00222462,0.00071312,32.7421875,32.7421875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02122388,0.00081516,0.0004225,0.0227305,0.00094413,0.0004479,32.6171875,32.7421875,0
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02183935,0.00111865,0.00067706,0.02622805,0.00137716,0.00055917,32.7421875,32.8671875,32.8671875
Linux-6.2.0-1017-aws-x86_64-with-glibc2.35,0,1024,0.02366382,0.00042615,0.00045232,0.02658722,0.00056685,0.00046881,32.7421875,32.8671875,0
